Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Structure
Ag2BiO3,Orthorhombic,Pnn2,34,24,0,-0.92342,TRUE,366.5718,8.565436,0.3872,TRUE,FALSE,NM,0,1.399796,26.53119,13.58623,"# generated using pymatgen
  data_Ag2BiO3
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 6.06333258
  _cell_length_b 6.28570690
  _cell_length_c 9.61819304
  _cell_angle_alpha 90.00000000
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 90.00000000
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ag2BiO3
  _chemical_formula_sum 'Ag8 Bi4 O12'
  _cell_volume 366.57176095
  _cell_formula_units_Z 4
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ag Ag0 1 0.97023560 0.75225371 0.25222710 1
  Ag Ag1 1 0.74612621 0.00076219 0.49541697 1
  Ag Ag2 1 0.24612621 0.49923781 0.99541697 1
  Ag Ag3 1 0.75387379 0.50076219 0.99541697 1
  Ag Ag4 1 0.52976440 0.25225371 0.75222710 1
  Ag Ag5 1 0.47023560 0.74774629 0.75222710 1
  Ag Ag6 1 0.02976440 0.24774629 0.25222710 1
  Ag Ag7 1 0.25387379 0.99923781 0.49541697 1
  Bi Bi8 1 -0.00000000 0.00000000 0.89757205 1
  Bi Bi9 1 0.50000000 0.50000000 0.39757205 1
  Bi Bi10 1 -0.00000000 0.50000000 0.60555460 1
  Bi Bi11 1 0.50000000 0.00000000 0.10555460 1
  O O12 1 0.89176302 0.21875339 0.74541596 1
  O O13 1 0.10823698 0.78124661 0.74541596 1
  O O14 1 0.60823698 0.71875339 0.24541596 1
  O O15 1 0.39176302 0.28124661 0.24541596 1
  O O16 1 0.69588181 0.82011208 0.93296370 1
  O O17 1 0.30411819 0.17988792 0.93296370 1
  O O18 1 0.80411819 0.32011208 0.43296370 1
  O O19 1 0.19588181 0.67988792 0.43296370 1
  O O20 1 0.32575865 0.31519480 0.55734245 1
  O O21 1 0.82575865 0.18480520 0.05734245 1
  O O22 1 0.17424135 0.81519480 0.05734245 1
  O O23 1 0.67424135 0.68480520 0.55734245 1"
Ag2TeS3,Monoclinic,Cc,9,12,0,-0.07847,TRUE,283.6471,5.146247,1.2999,TRUE,FALSE,NM,0,1.123034,13.06677,4.72689,"# generated using pymatgen
  data_Ag2TeS3
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 6.70829113
  _cell_length_b 6.70829192
  _cell_length_c 7.99419316
  _cell_angle_alpha 102.83216966
  _cell_angle_beta 102.83217877
  _cell_angle_gamma 118.80392832
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ag2TeS3
  _chemical_formula_sum 'Ag4 Te2 S6'
  _cell_volume 283.64708953
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ag Ag0 1 0.50724058 0.07000052 0.87236635 1
  Ag Ag1 1 0.83373450 0.73700493 0.91767536 1
  Ag Ag2 1 0.07000052 0.50724058 0.37236635 1
  Ag Ag3 1 0.73700493 0.83373450 0.41767536 1
  Te Te4 1 0.19400755 0.40442392 0.90161631 1
  Te Te5 1 0.40442392 0.19400755 0.40161631 1
  S S6 1 0.93739416 0.19488218 0.05405140 1
  S S7 1 0.19488218 0.93739416 0.55405140 1
  S S8 1 0.78708075 0.24261637 0.51696640 1
  S S9 1 0.24261637 0.78708075 0.01696640 1
  S S10 1 0.50554328 0.58367125 0.59632517 1
  S S11 1 0.58367125 0.50554328 0.09632517 1"
Ag3PO4,Trigonal,R3c,161,16,0,-1.4072,TRUE,217.9958,6.376837,0.421,FALSE,FALSE,NM,0,1.224158,14.47155,9.911642,"# generated using pymatgen
  data_Ag3PO4
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 6.01850972
  _cell_length_b 6.01850972
  _cell_length_c 6.01851044
  _cell_angle_alpha 89.69095889
  _cell_angle_beta 89.69095889
  _cell_angle_gamma 89.69096050
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ag3PO4
  _chemical_formula_sum 'Ag6 P2 O8'
  _cell_volume 217.99576980
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ag Ag0 1 0.19246030 0.00118137 0.49753724 1
  Ag Ag1 1 0.00118137 0.49753724 0.19246030 1
  Ag Ag2 1 0.49753724 0.19246030 0.00118137 1
  Ag Ag3 1 0.50118137 0.69246030 0.99753724 1
  Ag Ag4 1 0.69246030 0.99753724 0.50118137 1
  Ag Ag5 1 0.99753724 0.50118137 0.69246030 1
  P P6 1 0.50129211 0.50129211 0.50129211 1
  P P7 1 0.00129211 0.00129211 0.00129211 1
  O O8 1 0.15114011 0.15114011 0.15114011 1
  O O9 1 0.15359041 0.86904072 0.84275773 1
  O O10 1 0.84275773 0.15359041 0.86904072 1
  O O11 1 0.86904072 0.84275773 0.15359041 1
  O O12 1 0.36904072 0.65359041 0.34275773 1
  O O13 1 0.65359041 0.34275773 0.36904072 1
  O O14 1 0.65114011 0.65114011 0.65114011 1
  O O15 1 0.34275773 0.36904072 0.65359041 1"
Ag3SI,Triclinic,P1,1,5,0.073682,-0.26354,FALSE,123.3438,6.496743,0.2474,FALSE,FALSE,NM,0.0000951,1.048219,20.871,12.44257,"# generated using pymatgen
  data_Ag3SI
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 4.89205400
  _cell_length_b 4.92517755
  _cell_length_c 5.12078399
  _cell_angle_alpha 89.94357745
  _cell_angle_beta 89.40346588
  _cell_angle_gamma 88.71918978
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ag3SI
  _chemical_formula_sum 'Ag3 S1 I1'
  _cell_volume 123.34382339
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ag Ag0 1 0.97682000 0.92425700 0.06969400 1
  Ag Ag1 1 0.96689800 0.42700600 0.72315600 1
  Ag Ag2 1 0.53967100 0.80264100 0.49376100 1
  S S3 1 0.03416900 0.92576200 0.56713300 1
  I I4 1 0.48244300 0.38633400 0.07825600 1"
Ag3SbS3,Trigonal,R3c,161,14,0.008792,-0.19758,FALSE,318.6312,5.64465,0.9521,FALSE,FALSE,NM,0,1.050397,17.16648,4.451695,"# generated using pymatgen
  data_Ag3SbS3
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 7.00642863
  _cell_length_b 7.00642916
  _cell_length_c 7.00642890
  _cell_angle_alpha 101.76926589
  _cell_angle_beta 101.76928038
  _cell_angle_gamma 101.76925423
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ag3SbS3
  _chemical_formula_sum 'Ag6 Sb2 S6'
  _cell_volume 318.63121791
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ag Ag0 1 0.41447437 0.73987505 0.95178555 1
  Ag Ag1 1 0.95178555 0.41447437 0.73987505 1
  Ag Ag2 1 0.91447437 0.45178555 0.23987505 1
  Ag Ag3 1 0.45178555 0.23987505 0.91447437 1
  Ag Ag4 1 0.73987505 0.95178555 0.41447437 1
  Ag Ag5 1 0.23987505 0.91447437 0.45178555 1
  Sb Sb6 1 0.50634957 0.50634957 0.50634957 1
  Sb Sb7 1 0.00634957 0.00634957 0.00634957 1
  S S8 1 0.09757356 0.76488465 0.75095725 1
  S S9 1 0.76488465 0.75095725 0.09757356 1
  S S10 1 0.26488465 0.59757356 0.25095725 1
  S S11 1 0.59757356 0.25095725 0.26488465 1
  S S12 1 0.75095725 0.09757356 0.76488465 1
  S S13 1 0.25095725 0.26488465 0.59757356 1"
Ag5P(S2Cl)2,Orthorhombic,Amm2,38,12,0,-0.54321,TRUE,266.608,4.792627,1.2689,FALSE,FALSE,NM,0,1.39515,61.45975,54.93789,"# generated using pymatgen
  data_Ag5P(S2Cl)2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 6.33350800
  _cell_length_b 6.45252596
  _cell_length_c 7.48753600
  _cell_angle_alpha 90.00000000
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 119.39169153
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ag5P(S2Cl)2
  _chemical_formula_sum 'Ag5 P1 S4 Cl2'
  _cell_volume 266.60803775
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ag Ag0 1 0.93816600 0.61805400 0.78127500 1
  Ag Ag1 1 0.59532000 0.00000000 0.50000000 1
  Ag Ag2 1 0.93816600 0.61805400 0.21872600 1
  Ag Ag3 1 0.32011200 0.38194600 0.21872600 1
  Ag Ag4 1 0.32011200 0.38194600 0.78127400 1
  P P5 1 0.53888300 0.00000000 0.00000000 1
  S S6 1 0.34997800 0.00000000 0.77218900 1
  S S7 1 0.34997800 0.00000000 0.22781100 1
  S S8 1 0.58930500 0.70403900 0.00000000 1
  S S9 1 0.88526600 0.29596100 0.00000000 1
  Cl Cl10 1 0.05651900 0.34451300 0.50000000 1
  Cl Cl11 1 0.71200600 0.65548700 0.50000000 1"
Ag8GeTe6,Triclinic,P1,1,15,0.036799,-0.04408,FALSE,412.4523,6.848998,0.0719,FALSE,FALSE,NM,0.000445,2.285054,37.89122,16.38037,"# generated using pymatgen
  data_Ag8GeTe6
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 8.18140600
  _cell_length_b 8.19069543
  _cell_length_c 8.38428628
  _cell_angle_alpha 61.46822174
  _cell_angle_beta 61.90870288
  _cell_angle_gamma 61.73741452
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ag8GeTe6
  _chemical_formula_sum 'Ag8 Ge1 Te6'
  _cell_volume 412.45232668
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ag Ag0 1 0.19265400 0.81605200 0.22354000 1
  Ag Ag1 1 0.84769400 0.17496700 0.23808300 1
  Ag Ag2 1 0.20211400 0.20394000 0.60666700 1
  Ag Ag3 1 0.21252000 0.19954600 0.94640000 1
  Ag Ag4 1 0.59875500 0.37402000 0.98290200 1
  Ag Ag5 1 0.02210100 0.01235600 0.55040900 1
  Ag Ag6 1 0.01452100 0.59419800 0.01503000 1
  Ag Ag7 1 0.58950800 0.00515200 0.01932300 1
  Ge Ge8 1 0.51123800 0.50115700 0.52334100 1
  Te Te9 1 0.98348700 0.99364300 0.96173700 1
  Te Te10 1 0.25256300 0.25998800 0.22907000 1
  Te Te11 1 0.61100700 0.60744700 0.14643900 1
  Te Te12 1 0.60304300 0.11574300 0.62440300 1
  Te Te13 1 0.12375800 0.60078600 0.62452600 1
  Te Te14 1 0.66093700 0.63660500 0.61902900 1"
Ag8GeTe6,Triclinic,P1,1,15,0.021838,-0.05904,FALSE,412.4036,6.849807,0.0387,FALSE,FALSE,NM,0.000171,1.042444,60.67171,10.76571,"# generated using pymatgen
  data_Ag8GeTe6
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 8.15433300
  _cell_length_b 8.16653808
  _cell_length_c 8.30180402
  _cell_angle_alpha 61.76634695
  _cell_angle_beta 62.09390552
  _cell_angle_gamma 63.61810113
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ag8GeTe6
  _chemical_formula_sum 'Ag8 Ge1 Te6'
  _cell_volume 412.40359167
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ag Ag0 1 0.12032600 0.79680100 0.77945300 1
  Ag Ag1 1 0.83029500 0.16410400 0.76448400 1
  Ag Ag2 1 0.78459400 0.79242700 0.41584800 1
  Ag Ag3 1 0.69008000 0.33734400 0.05958700 1
  Ag Ag4 1 0.34901400 0.66578500 0.02410500 1
  Ag Ag5 1 0.98233300 0.99505200 0.44860300 1
  Ag Ag6 1 0.43120000 0.99938400 0.97364600 1
  Ag Ag7 1 0.03325600 0.41278100 0.97229100 1
  Ge Ge8 1 0.50885900 0.51400100 0.45993800 1
  Te Te9 1 0.01395300 0.99519000 0.04812600 1
  Te Te10 1 0.75947000 0.74276500 0.78662400 1
  Te Te11 1 0.42177000 0.39533200 0.84046400 1
  Te Te12 1 0.88972600 0.40549800 0.36698000 1
  Te Te13 1 0.40154100 0.89179000 0.37158600 1
  Te Te14 1 0.35548200 0.35664600 0.37916800 1"
AgBiS2,Monoclinic,Cc,9,8,0.050088,-0.45696,FALSE,182.5123,6.932464,0.3169,FALSE,FALSE,NM,0.0000331,24.84459,920.8112,888.1653,"# generated using pymatgen
  data_AgBiS2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 5.62115031
  _cell_length_b 5.62115031
  _cell_length_c 7.01200625
  _cell_angle_alpha 66.34452692
  _cell_angle_beta 66.34452692
  _cell_angle_gamma 89.90033519
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural AgBiS2
  _chemical_formula_sum 'Ag2 Bi2 S4'
  _cell_volume 182.51225778
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ag Ag0 1 0.75820100 0.49954400 0.49726700 1
  Ag Ag1 1 0.49954400 0.75820100 0.99726700 1
  Bi Bi2 1 0.00221200 0.25532500 0.99737700 1
  Bi Bi3 1 0.25532500 0.00221200 0.49737700 1
  S S4 1 0.99981800 0.74619900 0.99260400 1
  S S5 1 0.48243100 0.24450300 0.00895700 1
  S S6 1 0.74619900 0.99981800 0.49260400 1
  S S7 1 0.24450300 0.48243100 0.50895700 1"
Al(HO)3,Monoclinic,Pc,7,56,0.080649,-1.98198,FALSE,450.8638,2.298308,4.5932,TRUE,FALSE,NM,0.000387,1.443862,5.607833,3.043318,"# generated using pymatgen
  data_Al(HO)3
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 5.21406700
  _cell_length_b 9.02519800
  _cell_length_c 13.02967835
  _cell_angle_alpha 47.33454107
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 90.00000000
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Al(HO)3
  _chemical_formula_sum 'Al8 H24 O24'
  _cell_volume 450.86379753
  _cell_formula_units_Z 8
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al Al0 1 0.24819900 0.81418700 0.52249300 1
  Al Al1 1 0.75180100 0.81418700 0.02249300 1
  Al Al2 1 0.24073900 0.14816700 0.52250600 1
  Al Al3 1 0.75926100 0.14816700 0.02250600 1
  Al Al4 1 0.75047700 0.64729600 0.52255300 1
  Al Al5 1 0.24952300 0.64729600 0.02255300 1
  Al Al6 1 0.74421300 0.31488500 0.52235900 1
  Al Al7 1 0.25578700 0.31488500 0.02235900 1
  H H8 1 0.94169500 0.59633000 0.72211000 1
  H H9 1 0.05830500 0.59633000 0.22211000 1
  H H10 1 0.64499000 0.15644700 0.44387900 1
  H H11 1 0.57343900 0.45966900 0.22177100 1
  H H12 1 0.35501000 0.15644700 0.94387900 1
  H H13 1 0.42656100 0.45966900 0.72177100 1
  H H14 1 0.41244100 0.11651400 0.71985100 1
  H H15 1 0.58755900 0.11651400 0.21985100 1
  H H16 1 0.14951500 0.63907700 0.45763500 1
  H H17 1 0.85048500 0.63907700 0.95763500 1
  H H18 1 0.88865100 0.28350100 0.72005600 1
  H H19 1 0.11134900 0.28350100 0.22005600 1
  H H20 1 0.44312400 0.54820000 0.45654100 1
  H H21 1 0.55687600 0.54820000 0.95654100 1
  H H22 1 0.40811600 0.78998800 0.71890300 1
  H H23 1 0.59188400 0.78998800 0.21890300 1
  H H24 1 0.93980700 0.08443500 0.40359800 1
  H H25 1 0.06019300 0.08443500 0.90359800 1
  H H26 1 0.15256100 0.49980900 0.39976100 1
  H H27 1 0.84743900 0.49980900 0.89976100 1
  H H28 1 0.91027400 0.95565600 0.71757700 1
  H H29 1 0.08972600 0.95565600 0.21757700 1
  H H30 1 0.65029700 0.93736700 0.46665100 1
  H H31 1 0.34970300 0.93736700 0.96665100 1
  O O32 1 0.93673600 0.70034800 0.61893400 1
  O O33 1 0.06326400 0.70034800 0.11893400 1
  O O34 1 0.55755600 0.27884400 0.40811000 1
  O O35 1 0.44244400 0.27884400 0.90811000 1
  O O36 1 0.42715000 0.20390500 0.61788100 1
  O O37 1 0.57285000 0.20390500 0.11788100 1
  O O38 1 0.06984300 0.76967900 0.40963900 1
  O O39 1 0.93015700 0.76967900 0.90963900 1
  O O40 1 0.87710400 0.38743900 0.61712800 1
  O O41 1 0.12289600 0.38743900 0.11712800 1
  O O42 1 0.60894700 0.59276100 0.40916000 1
  O O43 1 0.39105300 0.59276100 0.90916000 1
  O O44 1 0.37628300 0.88983100 0.61724200 1
  O O45 1 0.62371700 0.88983100 0.11724200 1
  O O46 1 0.12507900 0.09146300 0.40472800 1
  O O47 1 0.87492100 0.09146300 0.90472800 1
  O O48 1 0.43615300 0.57289700 0.61919000 1
  O O49 1 0.56384700 0.57289700 0.11919000 1
  O O50 1 0.05299200 0.40566800 0.40343800 1
  O O51 1 0.94700800 0.40566800 0.90343800 1
  O O52 1 0.92755900 0.07393000 0.61674000 1
  O O53 1 0.07244100 0.07393000 0.11674000 1
  O O54 1 0.57597000 0.90929500 0.41229000 1
  O O55 1 0.42403000 0.90929500 0.91229000 1"
